year,month,avg_daily_ED_visit,Daily Mean PM10 Concentration,Daily Mean PM2.5 Concentration,Daily Max 1-hour NO2 Concentration,Daily Max 1-hour SO2 Concentration,Daily Max 8-hour CO Concentration,Daily Max 8-hour Ozone Concentration,Daily Mean Pb Concentration
2010,1,26.74,19.02409638554217,16.826350245499178,21.58048780487805,1.4450549450549441,0.3247191011235955,0.036366693231505466,0.025500000000000002
2010,2,32.39,25.548780487804876,20.917236024844698,22.77441860465116,1.935714285714287,0.3376623376623378,0.036366693231505466,0.0254
2010,3,37.55,23.98062015503876,14.469787234042565,21.280645161290323,2.7102272727272734,0.3535714285714286,0.036366693231505466,0.1488
2010,4,39.53,29.896825396825395,11.556956521739124,18.83928571428572,3.8104294478527616,0.3418604651162791,0.04966591928251117,0.18455555555555553
2010,5,37.71,18.87890625,8.398320413436693,19.20645161290323,1.8994413407821231,0.30786516853932583,0.04661184210526313,0.0751
2010,6,30.7,20.067193675889328,7.480297397769517,16.686666666666657,1.9128491620111718,0.31785714285714295,0.042467268623024815,0.2405
2010,7,27.48,24.00854700854701,9.748059360730588,15.522222222222224,2.302747252747252,0.278409090909091,0.04080392156862747,0.27436363636363637
2010,8,33.26,27.837209302325583,11.049499443826457,14.371186440677963,4.733160621761658,0.31764705882352945,0.041928260869565206,0.27555555555555555
2010,9,51.63,22.271493212669682,7.16670454545454,13.903333333333336,5.939999999999994,0.3055555555555556,0.0358886414253897,0.1796
2010,10,49.48,37.88209606986899,8.868196721311476,19.93389830508475,4.406603773584905,0.38000000000000006,0.03820449438202247,0.2822
2010,11,35.93,22.76605504587156,10.171103117505995,16.195,3.4919047619047627,0.3579545454545453,0.036366693231505466,0.08080000000000001
2010,12,26.68,19.79746835443038,15.399041533546352,19.386666666666663,3.4347222222222253,0.33333333333333326,0.036366693231505466,0.044642857142857144
2011,1,28.61,20.32075471698113,15.304455958549237,20.99677419354839,3.6032258064516105,0.28651685393258425,0.029555555555555574,0.019533333333333333
2011,2,36.11,16.851282051282052,12.143523920653445,20.008928571428577,4.139795918367348,0.27594936708860757,0.03607407407407409,0.016461538461538465
2011,3,36.35,22.620535714285715,12.962671905697436,18.91833333333333,4.674299065420558,0.283720930232558,0.03774193548387098,0.10926666666666665
2011,4,35.93,19.433333333333334,8.79641791044776,15.858620689655172,6.7848039215686216,0.26455696202531637,0.04304347826086953,0.034133333333333335
2011,5,33.19,23.966346153846153,8.88226270373922,14.904838709677417,8.498086124401908,0.2466666666666666,0.04581465517241376,0.09253333333333333
2011,6,29.57,25.91866028708134,10.115539305301636,14.491228070175438,4.757425742574257,0.2891566265060239,0.046617511520737315,0.07693333333333333
2011,7,26.23,30.57345971563981,12.742622950819658,14.630645161290317,4.145320197044339,0.2684782608695651,0.04589059080962804,0.11713333333333335
2011,8,28.13,27.379310344827587,9.449909584086798,15.83064516129032,5.9744186046511585,0.2611111111111111,0.040085152838427944,0.04976470588235295
2011,9,46.23,21.02415458937198,7.7220779220779185,15.662264150943397,2.519117647058826,0.3045977011494252,0.03348883928571427,0.03013333333333334
2011,10,42.52,35.486111111111114,9.363109475620968,19.606,6.739712918660277,0.3657534246575342,0.03701126126126125,0.08146666666666665
2011,11,34.67,21.80188679245283,9.660244360902276,16.065,11.064563106796111,0.30147058823529405,0.025931034482758634,0.07607142857142855
2011,12,30.42,16.72685185185185,10.140917107583773,17.82857142857143,4.132160804020103,0.2953488372093023,0.018700000000000005,0.053200000000000004
2012,1,28.71,17.327659574468086,9.327289048473974,15.377011494252882,4.715983606557378,0.37362637362637363,0.02248387096774195,0.044000000000000004
2012,2,31.66,17.868932038834952,11.22974013474494,16.316923076923068,4.332327586206896,0.34642857142857136,0.026034482758620706,0.029888888888888892
2012,3,34.39,22.76923076923077,9.938033395176259,10.39420289855072,12.576249999999993,0.2988636363636362,0.03725806451612904,0.12345454545454544
2012,4,40.87,24.605381165919283,9.551292246520884,11.47294117647059,3.445922746781118,0.268235294117647,0.04366890380313198,0.06760000000000002
2012,5,34.32,28.209821428571427,9.228400735294118,10.151648351648353,6.250434782608694,0.23478260869565196,0.05108496732026142,0.1101
2012,6,25.7,26.1588785046729,9.321895734597136,11.684883720930236,6.183898305084747,0.2671052631578947,0.05380136986301367,0.13
2012,7,29.81,31.410958904109588,11.504273504273486,11.75505617977528,3.212313432835824,0.27692307692307694,0.05390174672489079,0.17850000000000002
2012,8,36.61,28.23913043478261,8.795207373271882,13.979120879120869,6.567986798679866,0.32705882352941196,0.049755458515283874,0.22263636363636363
2012,9,54.03,29.09049773755656,7.4834186284544515,15.045555555555563,4.354882154882155,0.3423529411764705,0.0417505882352941,0.16459999999999997
2012,10,41.45,25.572727272727274,7.337332053742797,12.258620689655173,5.426315789473686,0.3172413793103446,0.029990314769975764,0.2072
2012,11,35.2,27.91324200913242,12.94353932584269,14.87317073170731,7.462798634812285,0.38536585365853643,0.025000000000000015,0.11080000000000001
2012,12,37.39,20.767543859649123,12.730520646319585,14.028888888888893,5.427213114754093,0.34318181818181803,0.022689655172413805,0.10820000000000003
2013,1,32.06,20.475884244372992,9.368863833477901,16.26016949152542,3.2297734627831725,0.750568181818182,0.027049999999999998,0.051500000000000004
2013,2,25.03,22.824175824175825,11.491933916423731,15.004464285714276,3.116546762589931,0.5826086956521745,0.034,0.028142857142857143
2013,3,30.86,22.649305555555557,11.65689505637469,15.243697478991594,5.046229508196719,0.6397849462365589,0.04176666666666666,0.05233333333333334
