"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2015","AQS","190450019","1","1.5","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/02/2015","AQS","190450019","1","1.4","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/03/2015","AQS","190450019","1","0.4","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/04/2015","AQS","190450019","1","0.2","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/05/2015","AQS","190450019","1","0.9","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/06/2015","AQS","190450019","1","0.4","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/07/2015","AQS","190450019","1","0.4","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/08/2015","AQS","190450019","1","17.6","ppb","24","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/09/2015","AQS","190450019","1","0.4","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/10/2015","AQS","190450019","1","8.8","ppb","11","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/11/2015","AQS","190450019","1","3.9","ppb","4","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/12/2015","AQS","190450019","1","0.8","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/13/2015","AQS","190450019","1","0.7","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
