"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2013","AQS","180030011","1","0.4","ppm","5","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","19","79.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/02/2013","AQS","180030011","1","0.6","ppm","7","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/03/2013","AQS","180030011","1","0.5","ppm","6","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/04/2013","AQS","180030011","1","0.3","ppm","3","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/05/2013","AQS","180030011","1","0.4","ppm","5","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/06/2013","AQS","180030011","1","0.3","ppm","3","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/07/2013","AQS","180030011","1","0.4","ppm","5","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","23","96.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/12/2013","AQS","180030011","1","0.6","ppm","7","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/13/2013","AQS","180030011","1","0.6","ppm","7","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/14/2013","AQS","180030011","1","0.5","ppm","6","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/15/2013","AQS","180030011","1","0.8","ppm","9","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/16/2013","AQS","180030011","1","0.8","ppm","9","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/17/2013","AQS","180030011","1","0.7","ppm","8","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/18/2013","AQS","180030011","1","0.6","ppm","7","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
"01/19/2013","AQS","180030011","1","0.6","ppm","7","SW CORNER OF OLD FORT WAYNE CENTRAL H.S.- FWCC","24","100.0000","42101","Carbon monoxide","23060","Fort Wayne, IN","18","Indiana","003","Allen","41.0744500527829","-85.1367288369905"
