"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/15/2018","AQS","191130040","1","0.5","ppm","6","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/16/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/17/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/18/2018","AQS","191130040","1","0.5","ppm","6","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/19/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/21/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/22/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/23/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/24/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/25/2018","AQS","191130040","1","0.5","ppm","6","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/26/2018","AQS","191130040","1","0.8","ppm","9","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/27/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"02/28/2018","AQS","191130040","1","0.4","ppm","5","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/01/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/03/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/04/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/05/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/07/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/08/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/09/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/10/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/11/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/12/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/13/2018","AQS","191130040","1","0.2","ppm","2","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/14/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
"03/15/2018","AQS","191130040","1","0.3","ppm","3","Public Health","24","100.0000","42101","Carbon monoxide","16300","Cedar Rapids, IA","19","Iowa","113","Linn","41.97677","-91.68766"
