"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/27/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/28/2013","AQS","190170011","1","0.056","ppm","54","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/29/2013","AQS","190170011","1","0.046","ppm","43","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/01/2013","AQS","190170011","1","0.036","ppm","33","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/02/2013","AQS","190170011","1","0.031","ppm","29","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/03/2013","AQS","190170011","1","0.024","ppm","22","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/04/2013","AQS","190170011","1","0.028","ppm","26","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/05/2013","AQS","190170011","1","0.038","ppm","35","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/06/2013","AQS","190170011","1","0.05","ppm","46","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/07/2013","AQS","190170011","1","0.058","ppm","61","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/08/2013","AQS","190170011","1","0.05","ppm","46","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/09/2013","AQS","190170011","1","0.037","ppm","34","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/10/2013","AQS","190170011","1","0.042","ppm","39","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/11/2013","AQS","190170011","1","0.042","ppm","39","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/12/2013","AQS","190170011","1","0.046","ppm","43","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/13/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/14/2013","AQS","190170011","1","0.056","ppm","54","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/15/2013","AQS","190170011","1","0.047","ppm","44","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/16/2013","AQS","190170011","1","0.061","ppm","71","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/17/2013","AQS","190170011","1","0.049","ppm","45","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/18/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/19/2013","AQS","190170011","1","0.051","ppm","47","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/20/2013","AQS","190170011","1","0.055","ppm","51","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/21/2013","AQS","190170011","1","0.036","ppm","33","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/22/2013","AQS","190170011","1","0.023","ppm","21","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/23/2013","AQS","190170011","1","0.041","ppm","38","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/24/2013","AQS","190170011","1","0.046","ppm","43","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/25/2013","AQS","190170011","1","0.041","ppm","38","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/26/2013","AQS","190170011","1","0.037","ppm","34","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/27/2013","AQS","190170011","1","0.033","ppm","31","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/28/2013","AQS","190170011","1","0.043","ppm","40","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/29/2013","AQS","190170011","1","0.042","ppm","39","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/30/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/31/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/01/2013","AQS","190170011","1","0.028","ppm","26","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/02/2013","AQS","190170011","1","0.04","ppm","37","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/03/2013","AQS","190170011","1","0.052","ppm","48","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"06/04/2013","AQS","190170011","1","0.049","ppm","45","WAVERLY AIRPORT SITE","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
