"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2014","AQS","191550011","1","0.009","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/11/2014","AQS","191550011","1","0.005","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/17/2014","AQS","191550011","1","0.015","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/23/2014","AQS","191550011","1","0.011","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/29/2014","AQS","191550011","1","0.051","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/04/2014","AQS","191550011","1","0.016","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/10/2014","AQS","191550011","1","0.01","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/16/2014","AQS","191550011","1","0.023","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/22/2014","AQS","191550011","1","0.005","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/28/2014","AQS","191550011","1","0.097","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"03/06/2014","AQS","191550011","1","0.165","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"03/12/2014","AQS","191550011","1","0.081","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"03/18/2014","AQS","191550011","1","0.087","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"03/24/2014","AQS","191550011","1","0.154","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"03/30/2014","AQS","191550011","1","0.063","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"04/05/2014","AQS","191550011","1","0.029","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"04/11/2014","AQS","191550011","1","0.071","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
