"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/02/2018","AQS","190450019","1","4.8","ppb","6","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/03/2018","AQS","190450019","1","0.5","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/04/2018","AQS","190450019","1","0.4","ppb","0","CLINTON, CHANCY PARK","21","88.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/05/2018","AQS","190450019","1","0.8","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/06/2018","AQS","190450019","1","1.1","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/07/2018","AQS","190450019","1","4.5","ppb","6","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/08/2018","AQS","190450019","1","1.1","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/09/2018","AQS","190450019","1","1.2","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/10/2018","AQS","190450019","1","3.9","ppb","4","CLINTON, CHANCY PARK","21","88.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/11/2018","AQS","190450019","1","3.1","ppb","4","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/12/2018","AQS","190450019","1","0.2","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/13/2018","AQS","190450019","1","0.2","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/14/2018","AQS","190450019","1","1.4","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/15/2018","AQS","190450019","1","0.6","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/16/2018","AQS","190450019","1","0.4","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/17/2018","AQS","190450019","1","0.7","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/18/2018","AQS","190450019","1","1.4","ppb","1","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/19/2018","AQS","190450019","1","2.4","ppb","3","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/20/2018","AQS","190450019","1","2.7","ppb","3","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/21/2018","AQS","190450019","1","0.8","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/22/2018","AQS","190450019","1","3","ppb","4","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/23/2018","AQS","190450019","1","0.2","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/24/2018","AQS","190450019","1","0.3","ppb","0","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/25/2018","AQS","190450019","1","3.2","ppb","4","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/26/2018","AQS","190450019","1","11.7","ppb","16","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
"01/27/2018","AQS","190450019","1","3.2","ppb","4","CLINTON, CHANCY PARK","23","96.0000","42401","Sulfur dioxide","17540","Clinton, IA","19","Iowa","045","Clinton","41.8232826881747","-90.2119824210274"
