"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","191550011","1","0.004","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/07/2016","AQS","191550011","1","0.003","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/13/2016","AQS","191550011","1","0.036","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/19/2016","AQS","191550011","1","0.022","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/25/2016","AQS","191550011","1","0.012","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"01/31/2016","AQS","191550011","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/06/2016","AQS","191550011","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/12/2016","AQS","191550011","1","0.002","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/18/2016","AQS","191550011","1","0.108","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
"02/24/2016","AQS","191550011","1","0.001","ug/m3 LC",".","","1","100.0000","14129","Lead (TSP) LC","36540","Omaha-Council Bluffs, NE-IA","19","Iowa","155","Pottawattamie","41.2542500009354","-95.887249"
