"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/27/2011","AQS","191530030","1","9.5","ppb","8","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"03/28/2011","AQS","191530030","1","15.2","ppb","14","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"03/29/2011","AQS","191530030","1","21.7","ppb","20","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"03/30/2011","AQS","191530030","1","30","ppb","28","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"03/31/2011","AQS","191530030","1","45","ppb","42","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/01/2011","AQS","191530030","1","11.1","ppb","10","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/02/2011","AQS","191530030","1","13.6","ppb","12","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/03/2011","AQS","191530030","1","5.7","ppb","5","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/04/2011","AQS","191530030","1","9.5","ppb","8","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/05/2011","AQS","191530030","1","39.3","ppb","37","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/06/2011","AQS","191530030","1","24","ppb","23","CARPENTER","21","88.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/07/2011","AQS","191530030","1","27.5","ppb","25","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/08/2011","AQS","191530030","1","10.5","ppb","9","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/09/2011","AQS","191530030","1","10.1","ppb","9","CARPENTER","23","96.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/10/2011","AQS","191530030","1","4.9","ppb","4","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/11/2011","AQS","191530030","1","12.6","ppb","11","CARPENTER","23","96.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/12/2011","AQS","191530030","1","26","ppb","25","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/13/2011","AQS","191530030","1","25.8","ppb","24","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/14/2011","AQS","191530030","1","14.1","ppb","13","CARPENTER","21","88.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/15/2011","AQS","191530030","1","12.2","ppb","11","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/16/2011","AQS","191530030","1","4.2","ppb","4","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/17/2011","AQS","191530030","1","8.5","ppb","8","CARPENTER","24","100.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
"04/18/2011","AQS","191530030","1","19.5","ppb","18","CARPENTER","22","92.0000","42602","Nitrogen dioxide (NO2)","19780","Des Moines-West Des Moines, IA","19","Iowa","153","Polk","41.6031590009368","-93.643118"
